HB,HBName
S08000015,NHS Ayrshire & Arran
S08000016,NHS Borders
S08000017,NHS Dumfries & Galloway
S08000019,NHS Forth Valley
S08000020,NHS Grampian
S08000022,NHS Highland
S08000024,NHS Lothian
S08000025,NHS Orkney
S08000026,NHS Shetland
S08000028,NHS Western Isles
S08000029,NHS Fife
S08000030,NHS Tayside
S08000031,NHS Greater Glasgow & Clyde
S08000032,NHS Lanarkshire
SB0801,Golden Jubilee National Hospital
SB0802,State Hospital
SB0803,NHS24
SB0804,NHS Health Scotland
SB0805,Healthcare Improvement Scotland
SB0806,Scottish Ambulance Service
SB0807,NHS Education for Scotland
SB0808,NHS National Services Scotland
