HBName,Quarter,percFull,HB
Ayrshire and Arran,2021Q2,30.49,S08000015
Ayrshire and Arran,2021Q3,29.76,S08000015
Ayrshire and Arran,2022Q1,20.27,S08000015
Ayrshire and Arran,2022Q2,21.62,S08000015
Ayrshire and Arran,2022Q4,27.16,S08000015
Ayrshire and Arran,2023Q1,22.78,S08000015
Ayrshire and Arran,2023Q3,25.61,S08000015
Ayrshire and Arran,2023Q4,23.75,S08000015
Ayrshire and Arran,2024Q2,27.71,S08000015
Ayrshire and Arran,2022Q3,23.38,S08000015
Ayrshire and Arran,2021Q4,21.33,S08000015
Ayrshire and Arran,2024Q1,20.78,S08000015
Ayrshire and Arran,2023Q2,18.67,S08000015
Borders,2021Q2,31.67,S08000016
Borders,2022Q1,29.31,S08000016
Borders,2022Q4,39.06,S08000016
Borders,2023Q3,40.91,S08000016
Borders,2024Q2,45.31,S08000016
Borders,2024Q1,39.06,S08000016
Borders,2022Q3,32.76,S08000016
Borders,2021Q3,28.33,S08000016
Borders,2021Q4,35,S08000016
Borders,2022Q2,38.33,S08000016
Borders,2023Q1,38.33,S08000016
Borders,2023Q2,35.94,S08000016
Borders,2023Q4,42.19,S08000016
Dumfries and Galloway,2024Q1,36.49,S08000017
Dumfries and Galloway,2023Q4,38.89,S08000017
Dumfries and Galloway,2022Q1,45.68,S08000017
Dumfries and Galloway,2022Q2,45.57,S08000017
Dumfries and Galloway,2024Q2,38.36,S08000017
Dumfries and Galloway,2021Q3,46.43,S08000017
Dumfries and Galloway,2023Q3,37.68,S08000017
Dumfries and Galloway,2021Q4,44.3,S08000017
Dumfries and Galloway,2021Q2,45.57,S08000017
Dumfries and Galloway,2023Q1,43.53,S08000017
Dumfries and Galloway,2023Q2,41.1,S08000017
Dumfries and Galloway,2022Q4,40.79,S08000017
Dumfries and Galloway,2022Q3,46.91,S08000017
Fife,2024Q1,25.77,S08000029
Fife,2023Q4,30.77,S08000029
Fife,2023Q3,26,S08000029
Fife,2022Q1,20.88,S08000029
Fife,2024Q2,26.53,S08000029
Fife,2021Q2,23.08,S08000029
Fife,2022Q3,26.32,S08000029
Fife,2023Q2,26,S08000029
Fife,2021Q4,17.24,S08000029
Fife,2022Q4,20.45,S08000029
Fife,2021Q3,20,S08000029
Fife,2022Q2,19.54,S08000029
Fife,2023Q1,22.34,S08000029
Forth Valley,2024Q1,27.78,S08000019
Forth Valley,2023Q2,21.21,S08000019
Forth Valley,2023Q4,27.78,S08000019
Forth Valley,2023Q1,29.73,S08000019
Forth Valley,2024Q2,18.75,S08000019
Forth Valley,2021Q3,23.53,S08000019
Forth Valley,2023Q3,29.73,S08000019
Forth Valley,2022Q2,29.73,S08000019
Forth Valley,2021Q2,26.76,S08000019
Forth Valley,2022Q3,35,S08000019
Forth Valley,2022Q1,27.78,S08000019
Forth Valley,2021Q4,33.33,S08000019
Forth Valley,2022Q4,23.53,S08000019
